File | Current title | Chars | Has Singapore | Has Securevision | Issue
---|---|---|---|---|---
portfolio/industrial/cogent-logistics-hub-cctv.html | Cogent 1.Logistics Hub — CCTV Design, Build & Upgrade | Securevision | 68 | No | Yes | Too long, Missing Singapore
portfolio/industrial/cyrus-tech-industrial.html | Cyrus Technology — New Facility Security System | Securevision | 62 | No | Yes | Too long, Missing Singapore
portfolio/industrial/hoy-san-industrial.html | Hoy San Group — Smart Vehicle Access Control | Securevision | 59 | No | Yes | Missing Singapore
portfolio/industrial/mitsubishi-elevator-face-access-bms.html | Mitsubishi Elevator Singapore — Face Access & BMS | Securevision | 64 | Yes | Yes | Too long
portfolio/industrial/multibase-construction-security-upgrade.html | Multibase Construction — CCTV & Biometric Access Upgrade | Securevision | 71 | No | Yes | Too long, Missing Singapore
portfolio/industrial/smartflex-tampines.html | Smartflex Tampines — Industrial Security Case Study | Securevision | 66 | No | Yes | Too long, Missing Singapore
portfolio/industrial/sta-compliance-imaging.html | STA Inspection — Automated Compliance Imaging System | Securevision | 67 | No | Yes | Too long, Missing Singapore
portfolio/industrial/sta-inspection-industrial.html | STA Inspection — Security & Operations Monitoring | Securevision | 64 | No | Yes | Too long, Missing Singapore
portfolio/industrial/stmicroelectronics-loyang-perimeter-alarm.html | STMicroelectronics Loyang — Perimeter Intrusion Upgrade | Securevision | 70 | No | Yes | Too long, Missing Singapore
portfolio/institutions/catholic-centre-waterloo.html | Catholic Centre Waterloo Street — CCTV Upgrade | Securevision | 61 | No | Yes | Too long, Missing Singapore
portfolio/institutions/changi-airport-lpr-barriers.html | Changi Airport Group — Airside LPR & Barrier System | Securevision | 66 | No | Yes | Too long, Missing Singapore
portfolio/institutions/cpf-maxwell-institution.html | CPF Maxwell Service Centre — Accountability System | Securevision | 65 | No | Yes | Too long, Missing Singapore
portfolio/institutions/das-learning-centre-woodlands.html | DAS Learning Centre Woodlands — Security & Access | Securevision | 64 | No | Yes | Too long, Missing Singapore
portfolio/institutions/my-world-preschool-cctv.html | MY World Preschool — Child Safety CCTV & Surveillance | Securevision | 68 | No | Yes | Too long, Missing Singapore
portfolio/institutions/sengkang-interim-bus-interchange.html | Sengkang Interim Bus Interchange — Security Case Study | Securevision | 69 | No | Yes | Too long, Missing Singapore
portfolio/institutions/sfx-retreat-centre-punggol.html | St Francis Xavier Retreat Centre — Security Case Study | Securevision | 69 | No | Yes | Too long, Missing Singapore
portfolio/managed-living/nursing-hostel-jalan-seh-chuan.html | Nursing Hostel Jalan Seh Chuan — Turnstile & CCTV | Securevision | 64 | No | Yes | Too long, Missing Singapore
portfolio/managed-living/scb-worker-dormitory-jalan-papan.html | SCB Worker Dormitory Jalan Papan — Access & CCTV | Securevision | 63 | No | Yes | Too long, Missing Singapore
portfolio/residential/dunbar-walk-landed-home.html | Dunbar Walk — Landed Home Security Case Study | Securevision | 60 | No | Yes | Missing Singapore
portfolio/residential/dyson-8-residences-landed-home.html | Dyson 8 Residences — Landed Home Security | Securevision | 56 | No | Yes | Missing Singapore
portfolio/residential/lengkok-mariam-landed-home.html | Lengkok Mariam — Landed Home Security Case Study | Securevision | 63 | No | Yes | Too long, Missing Singapore
portfolio/residential/merryn-road-landed-home.html | Merryn Road Landed Homes — Security Case Study | Securevision | 61 | No | Yes | Too long, Missing Singapore
portfolio/residential/shelford-landed-home.html | Shelford Road — Landed Home Security Case Study | Securevision | 62 | No | Yes | Too long, Missing Singapore
portfolio/residential/siglap-bank-landed-home.html | Siglap Bank — Landed Home Security Case Study | Securevision | 60 | No | Yes | Missing Singapore
portfolio/residential/upper-east-coast-road-landed-home.html | Upper East Coast Road — Residential Security | Securevision | 59 | No | Yes | Missing Singapore
